map_id,t0,t1,t2,t3,ada_delta_lane_last_minus_0
0,0.0010252409847453237,0.00119065772742033,0.0012800960103049874,0.0013514130841940641,0.0003261720994487405
1,0.00017462026153225452,0.00017697972361929715,0.00017731654224917293,0.00017724612553138286,2.6258639991283417e-06
2,0.0002532164508011192,0.00026117992820218205,0.00025712375645525753,0.0002562215377110988,3.005086909979582e-06
3,0.00010440994810778648,0.00010373724944656715,0.0001064880852936767,0.0001046977486112155,2.878005034290254e-07
4,0.00010806343198055401,0.00010078283958137035,0.00010293502418790013,0.00010259086411679164,-5.472567863762379e-06
5,3.582293720683083e-05,3.526502405293286e-05,3.581669443519786e-05,3.539218596415594e-05,-4.307512426748872e-07
6,0.0007480582571588457,0.0007228346657939255,0.000716863083653152,0.0007395785069093108,-8.479750249534845e-06
7,0.0015498377615585923,0.001526028965599835,0.0012813023058697581,0.0015105534112080932,-3.928435035049915e-05
8,0.00032144057331606746,0.0003048925718758255,0.0002861337852664292,0.0002928624744527042,-2.8578098863363266e-05
9,0.0001349493395537138,0.000134223562781699,0.0001299263967666775,0.00013391829270403832,-1.0310468496754766e-06
10,0.002053135307505727,0.0018138594459742308,0.0019436277216300368,0.0018659187480807304,-0.00018721655942499638
11,0.0004969375440850854,0.0004881237691733986,0.000509154808241874,0.0005164793692529202,1.954182516783476e-05
12,0.0002534088562242687,0.0002442258410155773,0.00023996604431886226,0.00023979353136382997,-1.3615324860438704e-05
13,0.001345769502222538,0.0013465157244354486,0.0013108495622873306,0.001373621285893023,2.785178367048502e-05
14,0.000758304086048156,0.0007169347954913974,0.0007155495695769787,0.0007423286442644894,-1.597544178366661e-05
15,0.0011876520002260804,0.001418926054611802,0.0017263892805203795,0.0016892654821276665,0.0005016134819015861
16,0.0003438620478846133,0.000342110259225592,0.00034261075779795647,0.00035113372723571956,7.271679351106286e-06
17,0.0012252444867044687,0.0010786961065605283,0.0010758137796074152,0.0009894591057673097,-0.00023578538093715906
18,0.000724009529221803,0.0007569286390207708,0.0007448731921613216,0.0007686797180213034,4.4670188799500465e-05
19,0.0008423010585829616,0.00121707608923316,0.0015496951527893543,0.0015068374341353774,0.0006645363755524158
20,6.091355317039415e-05,6.109473179094493e-05,6.0909707826795056e-05,6.106762157287449e-05,1.5406840248033404e-07
21,0.00028518991894088686,0.0002927451569121331,0.0002903673448599875,0.000290266441879794,5.0765229389071465e-06
22,0.0007871774723753333,0.0007838963647373021,0.0007933909073472023,0.0007771083037368953,-1.0069168638437986e-05
23,0.00031590680009685457,0.000317402184009552,0.0003210308204870671,0.00032014187308959663,4.235072992742062e-06
24,4.729786451207474e-05,4.543780232779682e-05,4.5487940951716155e-05,4.569449811242521e-05,-1.6033663996495306e-06
25,0.0003411589714232832,0.0003283912083134055,0.0003275310737080872,0.0003219774807803333,-1.918149064294994e-05
26,0.001025857636705041,0.0009937012800946832,0.001018136739730835,0.0009759675594978034,-4.989007720723748e-05
27,0.00021328423463273793,0.00021397261298261583,0.00021438855037558824,0.00021457292314153165,1.2886885087937117e-06
28,6.929030496394262e-05,6.942889012861997e-05,6.508380465675145e-05,6.964042404433712e-05,3.5011908039450645e-07
29,0.00043590000132098794,0.0004415661678649485,0.000455773260910064,0.00045725415111519396,2.1354149794206023e-05
30,-0.9535741806030273,-0.7873393297195435,-0.5911960601806641,-1.018722414970398,-0.0651482343673706
31,0.0008229425875470042,0.0008388799615204334,0.0008766477694734931,0.0008403199026361108,1.737731508910656e-05
32,0.0001683896844042465,0.00016615912318229675,0.00016672885976731777,0.0001656791428104043,-2.7105415938422084e-06
33,0.001307600294239819,0.00128907710313797,0.00126818404532969,0.001341389724984765,3.3789430744946e-05
34,0.0007882328936830163,-0.0035232759546488523,0.0008558084955438972,-0.0034179259091615677,-0.004206158686429262
35,0.0008589785429649055,0.0007849721005186439,0.0007920752977952361,0.0007684215088374913,-9.055703412741423e-05
36,0.0021620190236717463,0.002171757398173213,0.0022108075208961964,0.00213034194894135,-3.167707473039627e-05
37,0.0004059236089233309,0.00038328400114551187,0.00042888568714261055,0.0003972683916799724,-8.655217243358493e-06
