map_id,t0,t1,t2,t3,ada_delta_R_last_minus_0
0,1.0011484622955322,0.900922954082489,0.8010191917419434,0.8008953332901001,-0.20025312900543213
1,1.0008103847503662,1.0007747411727905,1.0007737874984741,1.0007736682891846,-3.6716461181640625e-05
2,1.000329852104187,1.000278353691101,1.0002763271331787,1.0002714395523071,-5.841255187988281e-05
3,0.9696379899978638,1.0003879070281982,1.0003931522369385,1.0004009008407593,0.030762910842895508
4,1.0006163120269775,1.0005048513412476,1.0005091428756714,1.000508427619934,-0.00010788440704345703
5,1.0006309747695923,1.0006352663040161,1.0006340742111206,1.0006282329559326,-2.7418136596679688e-06
6,1.0010340213775635,0.700943112373352,1.0009510517120361,1.0009169578552246,-0.00011706352233886719
7,1.0008071660995483,1.0008039474487305,1.0008152723312378,1.0007944107055664,-1.2755393981933594e-05
8,1.000629186630249,1.0006234645843506,1.0006380081176758,1.000632882118225,3.6954879760742188e-06
9,1.000684380531311,1.0006473064422607,1.0006513595581055,1.0006510019302368,-3.337860107421875e-05
10,1.0000847578048706,1.0000813007354736,1.000074863433838,1.0000749826431274,-9.775161743164062e-06
11,1.0001814365386963,1.0001599788665771,1.0001596212387085,1.0001643896102905,-1.704692840576172e-05
12,1.0005724430084229,1.000575065612793,1.0005788803100586,1.0005722045898438,-2.384185791015625e-07
13,1.0005104541778564,1.0004829168319702,1.0004962682724,1.0004900693893433,-2.0384788513183594e-05
14,1.0003427267074585,1.000354528427124,1.0003612041473389,1.0003677606582642,2.5033950805664062e-05
15,1.0005707740783691,1.0005816221237183,1.0005779266357422,1.0005931854248047,2.2411346435546875e-05
16,1.0005080699920654,1.0005109310150146,1.00050950050354,1.0005085468292236,4.76837158203125e-07
17,1.0003607273101807,1.0003483295440674,1.000339388847351,1.0003435611724854,-1.71661376953125e-05
18,0.7992808222770691,0.8034087419509888,0.9049564599990845,0.8887842297554016,0.08950340747833252
19,1.0001208782196045,1.0001100301742554,1.0001076459884644,1.0001075267791748,-1.33514404296875e-05
20,1.0003799200057983,1.000378966331482,1.0003803968429565,1.0003796815872192,-2.384185791015625e-07
21,1.0000957250595093,1.000096082687378,1.0000953674316406,1.0000882148742676,-7.510185241699219e-06
22,1.00044584274292,1.0004411935806274,1.000452995300293,1.0004456043243408,-2.384185791015625e-07
23,1.0001381635665894,1.0001261234283447,1.0001280307769775,1.000127911567688,-1.0251998901367188e-05
24,1.0002241134643555,1.0002003908157349,1.0001957416534424,1.0001981258392334,-2.5987625122070312e-05
25,1.0001871585845947,1.000183343887329,1.0001882314682007,1.000190019607544,2.86102294921875e-06
